t # 0
v 0 2
v 1 2
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 2
v 15 2
v 16 2
v 17 2
v 18 2
v 19 2
v 20 2
v 21 2
v 22 2
v 23 2
v 24 2
v 25 2
e 0 1 2
e 0 2 2
e 0 6 2
e 1 3 2
e 1 4 2
e 2 3 2
e 2 7 2
e 3 5 2
e 4 5 2
e 4 6 2
e 4 8 2
e 4 17 2
e 5 7 2
e 5 9 2
e 5 15 2
e 5 20 2
e 7 10 2
e 7 16 2
e 8 9 2
e 8 17 2
e 8 18 2
e 9 10 2
e 9 19 2
e 10 13 2
e 10 15 2
e 10 16 2
e 11 12 2
e 11 13 2
e 11 15 2
e 12 14 2
e 12 25 2
e 13 14 2
e 13 25 2
e 14 23 2
e 18 19 2
e 18 20 2
e 21 22 2
e 21 23 2
e 21 25 2
e 22 24 2
e 23 24 2
e 24 25 2
t # -1
